,countryCode,year,stateProvince,locality,elevation,elevationAccuracy,decimalLatitude,decimalLongitude
148150,DK,2019.0,Midtjylland,,,,56.330322,10.054842
51835,DK,2022.0,,,,,55.954623,11.875456
4740,DE,,,MTB 5924: Gemünden am Main; Quadrant: 3,,,50.024922,9.708158
149148,DE,2014.0,,Bahnhof Bad Vilbel,,,50.190472,8.741341
116897,FI,2008.0,Keski-Suomi,Petäjäveden Heikkilänperä. Tilkkulantien varrella,,,62.40463,25.168745
94613,CH,2020.0,Ow,,587.5,2.5,46.92517,8.32491
33849,NO,2018.0,Vestfold og Telemark,"Jomfruland, Hovedveiens vestside, øst for nr. 117",,,58.8731,9.6024
192773,SE,1980.0,Södermanland,"10G9jso, Srm",,,59.48387,16.66554
103719,RU,,Republic of Karelia,Zakaznik Olonetsky,,,60.77,32.9792
131920,RU,2020.0,Samara,,,,53.5209,49.3556
38753,FR,2020.0,,,,,47.02551,5.82043
196112,GB,2011.0,England,Falconer Road Bushey,,,51.646478,-0.367792
56130,SE,1996.0,Skåne,"800m N Mannagården, Sk",,,56.24896,14.07426
48050,SE,1988.0,Södermanland,"Tunaberg, Kungstorp, Srm",,,58.64477,16.81623
81113,FR,1977.0,,,,,49.13603,0.87588
220840,SE,2015.0,Östergötland,"Häradskär, 25 m NV bron mot Stångskär, Ög",,,58.14761,16.98544
186687,GB,2020.0,England,"Coventry Rd, Croft",,,52.549945,-1.238243
212062,GB,2012.0,England,Dunsford Wood (DWT reserve),,,50.683848,-3.692909
222121,SE,2001.0,Skåne,"1 km NO Dalhem, Sk",,,55.99475,13.95102
121897,SE,2001.0,Bohuslän,"Rödön, södra stranden, Boh",,,58.33139,11.8876
1352,RU,2020.0,Bryansk,,,,53.592773,34.322563
56160,SE,2010.0,Östergötland,"Östergötland, Ög",,,58.19776,14.60953
230506,SE,2010.0,Skåne,"Skåne, Sk",,,56.35377,14.32784
61341,SE,1989.0,Gotland,"Gullbjännar-Antarve lertag-Ronnings, Gtl",,,57.14629,18.37438
125426,SE,2006.0,Småland,"Äpplehult 310 m O, Sm",,,58.05286,14.71882
123771,SE,1997.0,Skåne,"V Kullaberg, 350 m VNV Ransvik, Sk",,,56.29298,12.47048
107014,BE,2021.0,,,,,51.14934,3.56151
106741,FR,2000.0,,CHALIVOY-MILON,,,46.8612,2.7084
151393,EE,2016.0,,taime atlase ruut: 06-36,,,59.35,26.083333
11167,DE,1986.0,,Gehölzsystem nordöstlich Oberleichtersbach,,,50.27,9.79
185810,FI,2020.0,Varsinais-Suomi,Haarlansuntti,,,60.38172,22.222769
62178,SE,2015.0,Uppland,"Segersta, Upl",,,59.63898,17.40354
93960,DE,1985.0,,s und se Köslau,,,50.06,10.68
15515,DK,2003.0,,Reersø,,,55.534148,11.129885
